nodes, tasks_per_node, execution_time
1, 8, 83
1, 4, 99
2, 8, 76
2, 4, 98
1, 2, 162
4, 2, 150
4, 8, 71
4, 4, 102
2, 2, 192
1, 1, 284
6, 4, 98
4, 1, 294
6, 1, 276
6, 2, 172
2, 1, 338
8, 2, 163
6, 8, 79
8, 1, 272
8, 4, 104
8, 8, 77
