nodes, tasks_per_node, execution_time
1, 4, 707
2, 4, 699
1, 2, 749
4, 2, 710
2, 2, 764
1, 8, 781
2, 8, 800
1, 1, 857
2, 1, 916
4, 1, 909
4, 8, 699
4, 4, 770
6, 1, 837
6, 2, 762
6, 4, 679
6, 8, 699
8, 2, 766
8, 1, 959
8, 4, 713
8, 8, 644
